"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NSF",0.0333575678184041,0.603167096098747,0.336,0.193,1
"INPP1",0.0333804235527607,0.285754482333877,0.357,0.205,1
"ANXA4",0.0334284085014742,0.456525887461886,0.643,0.545,1
"ABAT",0.0334380934086427,0.804079790024743,0.257,0.136,1
"CENPS",0.0334755012674084,0.415037499278844,0.386,0.227,1
"PHAX",0.0335011604458783,0.521290089044339,0.579,0.477,1
"EXOC3",0.0335774769894141,0.415037499278844,0.386,0.239,1
"TNFSF12",0.0336003612602074,0.601953217153857,0.471,0.341,1
"CBLL1",0.0336059584206767,0.519182426082348,0.329,0.193,1
"AIFM1",0.0336414590002156,0.491303393506911,0.579,0.489,1
"NDE1",0.0336668455261021,0.370790586189677,0.407,0.261,1
"HINT1",0.0336675961275023,-0.263859038631832,1,1,1
"PCNA",0.0336724607911178,0.382616021586466,0.5,0.352,1
"TCEAL4",0.0337624474566789,-0.37544018900592,0.979,0.977,1
"ZNF585A",0.0338216910940696,0.766247716499004,0.257,0.136,1
"DCP1A",0.0338565136038909,0.46259889771598,0.514,0.375,1
"TMEM60",0.0338832159118755,0.347636028421172,0.464,0.307,1
"KAZALD1",0.0339197647378508,0.461393134970584,0.286,0.148,1
"NARF",0.0339241685625141,0.531782462861981,0.436,0.284,1
"KIAA1109",0.0339496319092806,0.580692063342928,0.35,0.216,1
"IGF2R",0.0339530570901361,0.987260888169322,0.321,0.193,1
"KPNA1",0.0340358725808352,0.635957031216416,0.45,0.341,1
"EPS15",0.034062117354717,0.672540799139409,0.329,0.193,1
"RETSAT",0.0340984837120196,0.652076696579693,0.343,0.205,1
"CRTC3",0.0340990525403764,0.486267803609613,0.4,0.261,1
"ST7L",0.0341587481068466,0.943125478583084,0.279,0.159,1
"NABP1",0.0341835323237273,0.686292411917606,0.25,0.136,1
"GLA",0.0342656697964476,0.467652125442266,0.636,0.523,1
"UBE2V2",0.034364770010422,-0.520275042257159,0.571,0.67,1
"SH3RF1",0.0344191148104476,0.692718681077039,0.379,0.25,1
